Account.Balance,Payment.Status.of.Previous.Credit,Purpose,Credit.Amount,Length.of.current.employment,Instalment.per.cent,Score_Creditworthy,Score_Non-Creditworthy
Some Balance,Paid Up,New car,1413,1-4 yrs,3,1,0
Some Balance,Paid Up,New car,2848,< 1yr,1,1,0
Some Balance,Paid Up,Used car,2186,1-4 yrs,1,1,0
Some Balance,No Problems (in this bank),New car,2360,< 1yr,2,1,0
Some Balance,Paid Up,New car,3488,1-4 yrs,3,1,0
Some Balance,No Problems (in this bank),New car,4679,1-4 yrs,3,1,0
Some Balance,No Problems (in this bank),New car,3368,4-7 yrs,3,1,0
Some Balance,Paid Up,New car,3812,< 1yr,1,1,0
Some Balance,No Problems (in this bank),New car,3229,< 1yr,2,1,0
Some Balance,Paid Up,New car,2445,< 1yr,2,1,0
Some Balance,Paid Up,New car,2603,< 1yr,2,1,0
Some Balance,No Problems (in this bank),Used car,1592,1-4 yrs,3,1,0
Some Balance,No Problems (in this bank),New car,5842,4-7 yrs,2,1,0
Some Balance,Paid Up,New car,4675,< 1yr,1,1,0
Some Balance,No Problems (in this bank),New car,7596,4-7 yrs,1,1,0
Some Balance,No Problems (in this bank),Home Related,1554,1-4 yrs,1,1,0
Some Balance,Paid Up,Used car,601,< 1yr,1,1,0
Some Balance,Paid Up,New car,3378,< 1yr,2,1,0
Some Balance,Paid Up,New car,5248,< 1yr,1,1,0
Some Balance,No Problems (in this bank),New car,2993,< 1yr,3,1,0
Some Balance,No Problems (in this bank),Used car,2146,< 1yr,1,1,0
Some Balance,Paid Up,New car,2476,4-7 yrs,4,1,0
Some Balance,Paid Up,Used car,1766,< 1yr,1,1,0
Some Balance,No Problems (in this bank),Used car,1585,1-4 yrs,4,1,0
Some Balance,No Problems (in this bank),Used car,1591,1-4 yrs,4,1,0
Some Balance,No Problems (in this bank),Home Related,1455,1-4 yrs,2,1,0
Some Balance,No Problems (in this bank),Home Related,1343,4-7 yrs,1,1,0
Some Balance,Paid Up,Used car,3972,1-4 yrs,2,1,0
Some Balance,Paid Up,New car,4686,< 1yr,2,1,0
Some Balance,No Problems (in this bank),Home Related,1503,1-4 yrs,2,1,0
Some Balance,No Problems (in this bank),Used car,1808,1-4 yrs,4,1,0
Some Balance,Paid Up,Used car,2251,< 1yr,1,1,0
Some Balance,No Problems (in this bank),New car,4796,4-7 yrs,4,1,0
Some Balance,No Problems (in this bank),Home Related,2096,1-4 yrs,2,1,0
Some Balance,No Problems (in this bank),Used car,2069,< 1yr,2,1,0
Some Balance,No Problems (in this bank),Home Related,2331,4-7 yrs,1,1,0
Some Balance,Paid Up,Used car,3049,< 1yr,1,1,0
Some Balance,Paid Up,Home Related,1542,1-4 yrs,2,1,0
Some Balance,Paid Up,New car,7814,1-4 yrs,3,1,0
Some Balance,No Problems (in this bank),New car,6842,< 1yr,2,1,0
Some Balance,No Problems (in this bank),New car,8947,1-4 yrs,3,1,0
Some Balance,Paid Up,Home Related,3448,1-4 yrs,1,1,0
Some Balance,Paid Up,New car,6313,4-7 yrs,3,1,0
Some Balance,No Problems (in this bank),Home Related,1323,4-7 yrs,2,1,0
Some Balance,No Problems (in this bank),Home Related,1237,< 1yr,1,1,0
Some Balance,No Problems (in this bank),Home Related,1299,< 1yr,1,1,0
Some Balance,Paid Up,Used car,2210,< 1yr,2,1,0
Some Balance,No Problems (in this bank),Home Related,1382,< 1yr,1,1,0
Some Balance,No Problems (in this bank),Home Related,1655,4-7 yrs,2,1,0
Some Balance,Paid Up,Used car,2301,< 1yr,2,1,0
Some Balance,No Problems (in this bank),Used car,1935,4-7 yrs,4,1,0
Some Balance,No Problems (in this bank),Home Related,1740,4-7 yrs,2,1,0
Some Balance,Paid Up,Home Related,672,< 1yr,1,1,0
Some Balance,No Problems (in this bank),Home Related,1934,4-7 yrs,2,1,0
Some Balance,No Problems (in this bank),Home Related,1743,< 1yr,1,1,0
Some Balance,Paid Up,Used car,2708,< 1yr,2,1,0
Some Balance,No Problems (in this bank),Home Related,250,< 1yr,2,1,0
Some Balance,Paid Up,Home Related,1126,4-7 yrs,2,1,0
No Account,Paid Up,New car,1352,< 1yr,1,1,0
Some Balance,No Problems (in this bank),Home Related,2080,< 1yr,1,1,0
Some Balance,Paid Up,Home Related,3059,1-4 yrs,2,1,0
Some Balance,No Problems (in this bank),Used car,7678,1-4 yrs,2,1,0
Some Balance,No Problems (in this bank),Home Related,939,1-4 yrs,4,1,0
Some Balance,Paid Up,Home Related,1236,< 1yr,1,1,0
Some Balance,Paid Up,Home Related,1595,1-4 yrs,3,1,0
Some Balance,No Problems (in this bank),Home Related,683,< 1yr,2,1,0
Some Balance,Paid Up,Used car,1768,< 1yr,3,1,0
Some Balance,No Problems (in this bank),Home Related,1347,1-4 yrs,4,1,0
Some Balance,No Problems (in this bank),Home Related,1231,4-7 yrs,3,1,0
Some Balance,Paid Up,Home Related,1924,< 1yr,1,1,0
Some Balance,No Problems (in this bank),Home Related,1316,< 1yr,2,1,0
Some Balance,Paid Up,Home Related,3832,4-7 yrs,1,1,0
Some Balance,No Problems (in this bank),Home Related,3074,< 1yr,1,1,0
Some Balance,No Problems (in this bank),Home Related,1480,< 1yr,2,1,0
Some Balance,No Problems (in this bank),Home Related,5045,4-7 yrs,1,1,0
Some Balance,Paid Up,Home Related,894,1-4 yrs,4,1,0
Some Balance,No Problems (in this bank),Used car,1817,< 1yr,4,1,0
Some Balance,Paid Up,Home Related,2507,4-7 yrs,2,1,0
No Account,Paid Up,New car,2812,4-7 yrs,2,1,0
No Account,Paid Up,New car,2779,< 1yr,1,1,0
Some Balance,No Problems (in this bank),Used car,3780,< 1yr,3,1,0
Some Balance,Paid Up,Home Related,1262,1-4 yrs,4,1,0
Some Balance,No Problems (in this bank),Home Related,522,4-7 yrs,4,1,0
Some Balance,Paid Up,Used car,3062,4-7 yrs,4,1,0
Some Balance,No Problems (in this bank),Home Related,618,4-7 yrs,4,1,0
Some Balance,No Problems (in this bank),Home Related,629,4-7 yrs,4,1,0
Some Balance,Paid Up,Home Related,1076,< 1yr,2,1,0
Some Balance,Paid Up,Home Related,1478,1-4 yrs,4,1,0
